Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
6555,39.7509,-119.945,6555,371,1.88,NV,Washoe,Granite Peak,no,45396
Nache Peak,39.9966,-119.2358,6552,565,3.38,NV,Washoe,Black Warrior Peak,no,45401
6549,41.9044,-119.7864,6549,719,3.14,NV,Washoe,Little Coleman Canyon,no,45408
Ducky Benchmark,41.1671,-119.9316,6540,310,7.01,NV,Washoe,Pegleg Canyon,no,45429
6529,41.3857,-119.7538,6529,459,5.7,NV,Washoe,Boulder Lake,no,45464
6524,40.9503,-119.9764,6524,354,4.48,NV,Washoe,Burnt Lake,no,45475
Willow Benchmark,41.2133,-119.407,6519,509,6.32,NV,Washoe,Butte Spring,no,45484
6516,40.9258,-119.5551,6516,406,1.7,NV,Washoe,Crutcher Canyon,no,45490
6511,40.2529,-119.4251,6511,531,2.32,NV,Washoe,San Emidio Desert South,no,45501
Fish Benchmark,41.7559,-119.4044,6507,493,3.71,NV,Washoe,Swan Lake,no,45507
6492,39.6973,-119.5959,6492,341,3.46,NV,Washoe,Spanish Springs Peak,no,45557
6490,41.3728,-119.7316,6490,425,1.46,NV,Washoe,Pinto Springs,no,45537
6485,40.0435,-119.4295,6485,305,0.51,NV,Washoe,Dove Creek,no,45547
6449,41.2964,-119.4195,6449,339,2.82,NV,Washoe,Mahogany Mountain,no,141261
6437,40.8805,-119.6306,6437,467,3.36,NV,Washoe,Hillside Spring,no,45639
Black Butte,40.8169,-119.7173,6436,346,3.64,NV,Washoe,Poodle Mountain,no,45641
6434,41.9006,-119.8065,6434,544,1.07,NV,Washoe,Little Coleman Canyon,no,45645
6430,41.3386,-119.7224,6430,360,2.41,NV,Washoe,Pinto Springs,no,45650
6426,41.3497,-119.5536,6426,356,4,NV,Washoe,Hart Mountain,no,45660
6422,40.7631,-119.7094,6422,312,1.81,NV,Washoe,Poodle Mountain,no,45665
6421,40.8798,-119.6813,6421,331,2.65,NV,Washoe,Hillside Spring,no,45667
6410,39.4379,-119.6611,6410,460,1.97,NV,Washoe,Steamboat,no,45693
6409,40.4836,-119.5471,6409,353,1.8,NV,Washoe,Pah-Rum Peak,no,45695
Wall Benchmark,41.5418,-119.3879,6374,604,4.91,NV,Washoe,Nut Mountain,no,45754
Bitner Butte,41.7818,-119.5061,6366,341,5.54,NV,Washoe,Bald Mountain,no,45774
6361,41.1057,-119.36,6361,301,1.73,NV,Washoe,Division Peak,no,142282
Cui Ui Benchmark,39.997,-119.4652,6348,568,2.31,NV,Washoe,Nixon NW,no,45805
